"","waldStat","df","pvalue","meanLogFC"
"PCYT1B",75.2978189696842,5,8.10462807976364e-15,1.18303752562569
"LSAMP",75.2551505129959,5,8.21565038222616e-15,0.440955861816704
"TNS3",75.2081275912103,5,8.43769498715119e-15,0.41621392530089
"MARCKS",75.105468946982,5,8.88178419700125e-15,0.321666718673424
"OTX2",74.9947397647018,5,9.32587340685131e-15,0.941682322263861
"RPS23",74.7878379860449,5,1.0325074129014e-14,0.349033392428724
"BACH2",74.0362109377711,5,1.47659662275146e-14,0.402887512665408
"SCAPER",73.7589236640688,5,1.68753899743024e-14,0.524311960429111
"ZMAT3",73.1934817790025,5,2.22044604925031e-14,1.29953652819785
"LARGE1",72.996178419352,5,2.43138842392909e-14,0.439638108351349
"SLC38A2",71.9304283611548,5,4.06341627012807e-14,1.0133389103253
"PAK3",71.7274839320235,5,4.47419878923938e-14,0.751435029446349
"MAB21L1",71.4460796685271,5,5.11812814352197e-14,1.15299786674089
"DDIT3",71.3028696704787,5,5.48450174164827e-14,1.44125507467188
"MT-ND4",70.9246206659554,5,6.58362253602718e-14,0.368474571119205
"DAAM1",70.9061915226303,5,6.63913368725844e-14,0.49706045223491
"SOX4",70.8102974291814,5,6.94999613415348e-14,0.275247729711889
"NRG3",70.6347424672967,5,7.56061879769732e-14,0.700339883971986
"PLPPR1",70.6036599098231,5,7.67164110015983e-14,0.874103269085633
"CASZ1",70.5527153170533,5,7.86037901434611e-14,0.980926333943013
"IARS1",70.4140590757233,5,8.40438829641244e-14,0.47588504568075
"CNTN5",70.1229798034483,5,9.65894031423886e-14,0.36998654273305
"PHYHIPL",70.0801728568385,5,9.85878045867139e-14,0.330604200944685
"TXN",69.8926797363838,5,1.07913677993565e-13,0.609788886339682
"RPS4X",69.5776867546832,5,1.25455201782643e-13,0.580724905449177
"GADD45A",69.1490841606137,5,1.54098955817972e-13,1.68046150304315
"CTNND1",69.0302051939743,5,1.63091762317435e-13,0.550288448143967
"GAPDH",68.8858814468149,5,1.74749104076e-13,0.339758069746676
"POGZ",68.6124708588786,5,1.99174010617753e-13,0.553457896997803
"SRRM4",68.6011332649759,5,2.00284233642378e-13,2.13012402264643
"FAM168A",68.2493373798638,5,2.37032615757471e-13,0.378560408911429
"POT1-AS1",68.0901199809091,5,2.55795384873636e-13,1.12940212147189
"BCAS3",68.0152145793727,5,2.65121258280487e-13,0.56264376955592
"PPP1R9A",67.1436229278329,5,4.02233801821694e-13,0.368883439161205
"RPL17",67.0926177412912,5,4.12225809043321e-13,0.592867704167153
"LINGO2",66.9822842783251,5,4.34541291838286e-13,0.435112237785656
"NUP210L",66.6722726687367,5,5.04041253179821e-13,2.84804630005816
"LMO1",66.495730643157,5,5.48339151862365e-13,1.01838093255472
"RPLP2",66.4711610124796,5,5.54889467707653e-13,0.478721862485956
"CHRM3",66.4632148530327,5,5.56998891454441e-13,0.885515692282627
"LINC00486",66.4482043019379,5,5.60995694343092e-13,0.210706505032241
"NFIA",66.3580600238674,5,5.8564264548977e-13,0.304168304127937
"AUTS2",66.1375001985216,5,6.50812737035267e-13,0.254192399682339
"SPATA13",65.9752389751593,5,7.03326286100037e-13,0.705360928755507
"ADAMTS6",65.7070368690293,5,7.99471600032575e-13,0.640381121764258
"TPI1",65.6465357667466,5,8.22897305852166e-13,0.572900789397505
"RPL35A",65.3660423649562,5,9.4091401336982e-13,0.493894282898804
"PTPRK",65.2501260035415,5,9.94537785459215e-13,0.377560637063514
"BAZ2B",65.1408884079938,5,1.04782849064122e-12,0.24523613133342
"GABRG3-AS1",64.9613562395098,5,1.14164233622205e-12,0.347953263414662
"B3GALT1",64.7839410396955,5,1.24256160916048e-12,0.537175377084342
"RHBDL3",64.7588882435448,5,1.25754961999291e-12,0.843020580169411
"NR2E1",64.6397224048997,5,1.33115740652556e-12,1.20550667923705
"CDH23",64.5131515429675,5,1.41409106646506e-12,0.701196077696389
"ZFP36L2",64.5128205511992,5,1.41431311106999e-12,0.381447139640868
"RPL18A",64.3612766222141,5,1.52045043222415e-12,0.837109226332334
"RPL13A",64.2874046041688,5,1.57496238273325e-12,0.477842775181607
"DAB2IP",64.2810338225831,5,1.5798473640416e-12,0.740150236778456
